Canonical Word: VANS
Detections:
  Frame Name: 1.73829e+09, Score: 0.99137
  Frame Name: 1.73829e+09, Score: 0.993413
  Frame Name: 1.73829e+09, Score: 0.991513
  Frame Name: 1.73829e+09, Score: 0.992584
  Frame Name: 1.73829e+09, Score: 0.990765
  Frame Name: 1.73829e+09, Score: 0.991998
  Frame Name: 1.73829e+09, Score: 0.989575
  Frame Name: 1.73829e+09, Score: 0.993118
  Frame Name: 1.73829e+09, Score: 0.991102
  Frame Name: 1.73829e+09, Score: 0.915955
  Frame Name: 1.73829e+09, Score: 0.991081
  Frame Name: 1.73829e+09, Score: 0.992528
  Frame Name: 1.73829e+09, Score: 0.992115
  Frame Name: 1.73829e+09, Score: 0.988721
  Frame Name: 1.73829e+09, Score: 0.989612
  Frame Name: 1.73829e+09, Score: 0.98863
  Frame Name: 1.73829e+09, Score: 0.987904
  Frame Name: 1.73829e+09, Score: 0.989796
  Frame Name: 1.73829e+09, Score: 0.991508
  Frame Name: 1.73829e+09, Score: 0.987856
  Frame Name: 1.73829e+09, Score: 0.990524
  Frame Name: 1.73829e+09, Score: 0.992697
  Frame Name: 1.73829e+09, Score: 0.991169
  Frame Name: 1.73829e+09, Score: 0.987534
  Frame Name: 1.73829e+09, Score: 0.988237
  Frame Name: 1.73829e+09, Score: 0.99081
  Frame Name: 1.73829e+09, Score: 0.992757
  Frame Name: 1.73829e+09, Score: 0.988605
  Frame Name: 1.73829e+09, Score: 0.991432
  Frame Name: 1.73829e+09, Score: 0.993398
  Frame Name: 1.73829e+09, Score: 0.993628
  Frame Name: 1.73829e+09, Score: 0.979775
  Frame Name: 1.73829e+09, Score: 0.992046
  Frame Name: 1.73829e+09, Score: 0.990016
  Frame Name: 1.73829e+09, Score: 0.99232
  Frame Name: 1.73829e+09, Score: 0.992235
  Frame Name: 1.73829e+09, Score: 0.993931
  Frame Name: 1.73829e+09, Score: 0.992916
  Frame Name: 1.73829e+09, Score: 0.992802
  Frame Name: 1.73829e+09, Score: 0.993603
  Frame Name: 1.73829e+09, Score: 0.988424
  Frame Name: 1.73829e+09, Score: 0.991132
  Frame Name: 1.73829e+09, Score: 0.993156
  Frame Name: 1.73829e+09, Score: 0.989753
  Frame Name: 1.73829e+09, Score: 0.988888
  Frame Name: 1.73829e+09, Score: 0.990757
  Frame Name: 1.73829e+09, Score: 0.991617
  Frame Name: 1.73829e+09, Score: 0.991885
  Frame Name: 1.73829e+09, Score: 0.98493
  Frame Name: 1.73829e+09, Score: 0.990304
  Frame Name: 1.73829e+09, Score: 0.989828
  Frame Name: 1.73829e+09, Score: 0.990939
  Frame Name: 1.73829e+09, Score: 0.992231
  Frame Name: 1.73829e+09, Score: 0.989913
  Frame Name: 1.73829e+09, Score: 0.988684
  Frame Name: 1.73829e+09, Score: 0.989922
  Frame Name: 1.73829e+09, Score: 0.987346
  Frame Name: 1.73829e+09, Score: 0.992397
  Frame Name: 1.73829e+09, Score: 0.990649
  Frame Name: 1.73829e+09, Score: 0.991346
  Frame Name: 1.73829e+09, Score: 0.986429
  Frame Name: 1.73829e+09, Score: 0.989317
  Frame Name: 1.73829e+09, Score: 0.987937
  Frame Name: 1.73829e+09, Score: 0.990213
  Frame Name: 1.73829e+09, Score: 0.989594
  Frame Name: 1.73829e+09, Score: 0.987979
  Frame Name: 1.73829e+09, Score: 0.992174
  Frame Name: 1.73829e+09, Score: 0.988492
  Frame Name: 1.73829e+09, Score: 0.988568
  Frame Name: 1.73829e+09, Score: 0.989291
  Frame Name: 1.73829e+09, Score: 0.992166
